date,sun_moon_tension,sun_mercury_tension,sun_venus_tension,sun_mars_tension,sun_jupiter_tension,sun_saturn_tension,sun_uranus_tension,sun_neptune_tension,sun_pluto_tension,moon_mercury_tension,moon_venus_tension,moon_mars_tension,moon_jupiter_tension,moon_saturn_tension,moon_uranus_tension,moon_neptune_tension,moon_pluto_tension,mercury_venus_tension,mercury_mars_tension,mercury_jupiter_tension,mercury_saturn_tension,mercury_uranus_tension,mercury_neptune_tension,mercury_pluto_tension,venus_mars_tension,venus_jupiter_tension,venus_saturn_tension,venus_uranus_tension,venus_neptune_tension,venus_pluto_tension,mars_jupiter_tension,mars_saturn_tension,mars_uranus_tension,mars_neptune_tension,mars_pluto_tension,jupiter_saturn_tension,jupiter_uranus_tension,jupiter_neptune_tension,jupiter_pluto_tension,saturn_uranus_tension,saturn_neptune_tension,saturn_pluto_tension,uranus_neptune_tension,uranus_pluto_tension,neptune_pluto_tension,global_tension
1990-01-01,0.0,0.0,0.0,0.0,0.4241,0.3552,0.4227,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5252,0.208,0.0,0.0,0.6963,0.4538,0.2552,0.0,0.0,3.74
1990-01-02,0.2431,0.0,0.0,0.0,0.2554,0.4735,0.3052,0.763,0.0,0.0,0.0,1.2662,0.0543,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4854,0.1778,0.0,0.0,0.6836,0.4702,0.2585,0.0,0.0,4.86
1990-01-03,0.0,0.0,0.0,0.0,0.0867,0.5917,0.1877,0.8139,0.0,0.1936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4457,0.1477,0.0,0.0,0.6709,0.4867,0.2617,0.0,0.0,3.64
1990-01-04,0.3316,0.0,0.0,0.0,0.0,0.71,0.0701,0.7109,0.0246,0.0,0.138,0.0798,1.0197,0.0,1.3359,0.6194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4062,0.1176,0.0,0.0,0.6583,0.5033,0.265,0.0,0.0,5.81
1990-01-05,0.1093,0.0,0.0,0.0,0.0,0.8282,0.0,0.6078,0.1438,0.7443,0.0,0.0,0.0,0.5441,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,0.0,0.0,0.0,0.0,0.3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669,0.0878,0.0,0.0,0.6456,0.5199,0.2682,0.0,0.0,4.39
1990-01-06,0.0,0.0688,0.0,0.0,0.0,0.9464,0.0,0.5048,0.2631,0.0,0.766,0.0,0.3068,0.0,0.3283,0.0,0.0,0.0,0.0,0.0,0.1861,0.0,0.0,0.0,0.0,0.4236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3278,0.0581,0.0,0.0,0.6329,0.5367,0.2714,0.0,0.0,4.6
1990-01-07,0.0839,0.2219,0.0,0.0,0.0,1.0354,0.0,0.4017,0.3824,0.1623,0.0,0.0,0.0,0.1192,0.0,0.0,1.0608,0.0,0.0,0.0,0.3211,0.0,0.0,0.0,0.0,0.4611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2889,0.0285,0.0,0.0,0.6201,0.5536,0.2745,0.0,0.0,4.87
1990-01-08,0.0,0.3818,0.0,0.0,0.0,0.9172,0.0,0.2987,0.4583,0.0,0.1595,0.0,0.0,0.0,0.5485,0.0,0.0,0.0,0.0,0.0,0.4665,0.0,0.0252,0.1222,0.0,0.5058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2503,0.0,0.0,0.0,0.6074,0.5705,0.2777,0.0,0.0,4.58
1990-01-09,0.5228,0.5458,0.0,0.0,0.0,0.7991,0.0,0.1957,0.3389,0.4571,0.0,0.596,0.0,0.0959,0.0,0.0,0.3848,0.0,0.0,0.0,0.618,0.0,0.1396,0.2517,0.0,0.5345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119,0.0,0.0,0.0,0.5947,0.5875,0.2809,0.0,0.0,5.66
1990-01-10,0.0,0.4091,0.0,0.0,0.0,0.6809,0.0,0.0927,0.2194,0.0,0.5033,0.0,1.0403,0.0,1.012,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.2552,0.3825,0.0,0.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1739,0.0,0.0,0.0,0.582,0.6047,0.284,0.0,0.0,5.89
1990-01-11,0.7172,0.246,0.0,0.0,0.0,0.5627,0.0,0.0,0.0999,0.6698,0.0,0.5023,0.0,1.4124,0.0,0.4195,0.3533,0.0,0.0,0.0,0.7588,0.0,0.3686,0.2574,0.0,0.4118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1362,0.0,0.0,0.0,0.5693,0.6218,0.2871,0.0,0.0,6.52
1990-01-12,0.0,0.0875,0.0,0.0,0.0,0.4446,0.0,0.0,0.0,0.0,0.6644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157,0.0,0.4763,0.1357,0.0,0.3418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0988,0.0,0.0,0.0,0.5566,0.6391,0.2902,0.0,0.0,3.72
1990-01-13,0.0,0.0,0.0,0.0,0.0,0.3264,0.0,0.0,0.0,0.2686,0.0,0.136,0.0,0.4323,0.0,0.0726,1.4035,0.0,0.0,0.0,0.483,0.0831,0.5757,0.0237,0.0,0.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0618,0.0,0.0,0.0,0.5438,0.6565,0.2933,0.0,0.0,4.6
1990-01-14,0.0,0.0,0.0,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.1888,0.6644,0.0,0.0,0.1868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0251,0.0,0.0,0.0,0.5311,0.6739,0.2964,0.0,0.0,2.87
